,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
163,2,5,8,7,5,8,8,7,5,7,7,7,5,8,8,7
164,0,5,8,7,5,5,8,7,4,6,8,7,5,7,8,7
165,2,7,8,7,4,7,8,7,5,6,8,7,6,8,8,7
166,0,5,8,7,2,5,8,7,3,6,8,7,1,6,8,7
167,0,7,8,7,0,7,8,7,2,7,8,7,6,5,8,7
168,5,6,7,7,5,7,8,7,7,7,8,7,6,6,8,7
169,4,5,8,7,4,5,8,7,4,6,8,7,7,5,8,7
170,2,5,8,7,4,7,8,7,5,7,8,7,5,6,7,7
171,2,7,8,7,4,6,8,7,5,7,8,7,4,6,8,7
172,1,7,8,7,1,7,8,7,1,7,8,7,5,6,8,7
173,0,7,8,8,0,5,8,7,3,5,8,7,5,6,8,7
174,5,5,8,7,4,5,8,7,6,7,8,7,5,7,8,7
175,5,5,6,7,5,7,8,7,5,7,8,7,5,6,8,7
176,0,7,7,7,5,6,8,7,4,6,8,7,5,7,8,7
177,1,5,8,7,5,6,8,7,3,6,8,7,6,7,8,7
178,0,7,8,7,2,7,8,7,5,8,8,7,5,8,8,7
179,0,4,8,7,3,8,8,7,2,7,8,7,5,6,8,7
180,7,7,8,7,6,8,8,7,7,8,8,7,6,6,8,7
181,6,6,8,7,4,5,8,7,5,6,8,7,5,5,8,7
182,4,5,6,7,4,5,8,7,3,6,8,8,6,7,8,7
183,4,6,8,7,2,6,8,7,6,5,8,7,4,6,8,7
184,1,5,6,7,1,6,8,7,2,6,8,7,5,8,8,7
185,0,5,6,7,1,7,8,7,0,7,8,7,5,7,7,7
186,5,5,8,7,5,6,8,7,6,8,8,7,6,7,7,7
187,5,7,8,7,5,7,8,7,5,6,7,7,6,6,8,7
188,0,5,8,7,2,7,8,7,5,8,8,7,5,5,7,7
189,2,7,6,7,4,6,8,7,5,6,8,7,6,7,8,7
190,2,5,8,7,4,5,8,7,5,7,8,7,7,7,8,7
191,2,5,8,7,1,5,8,7,5,6,8,7,3,7,8,7
192,5,8,8,7,6,5,8,7,6,7,8,7,6,8,8,7
193,4,7,8,7,5,6,8,7,5,6,8,7,6,6,8,7
194,4,7,8,7,5,5,8,7,5,7,8,7,6,8,8,7
195,4,4,8,7,2,6,8,7,4,8,8,7,7,8,8,7
196,2,7,8,7,2,6,8,7,4,6,8,7,5,7,8,7
197,0,5,8,7,4,5,8,7,5,6,8,7,5,6,7,7
198,5,6,8,7,5,5,7,7,5,7,7,7,6,8,8,7
199,5,6,8,7,5,7,8,7,6,7,8,7,6,6,8,7
200,4,8,8,7,5,7,8,7,5,5,7,7,6,7,8,7
201,5,5,8,7,4,5,8,7,5,6,8,7,5,7,8,7
202,1,5,8,7,4,8,8,8,4,7,8,7,5,7,7,7
203,2,5,6,7,2,8,8,7,5,7,8,7,5,6,7,7
204,7,7,8,7,6,7,8,7,5,6,8,7,5,6,8,7
205,5,5,8,7,5,8,8,7,5,8,8,7,5,8,8,7
206,2,7,8,7,5,5,8,7,5,6,8,7,5,6,8,7
207,5,6,7,7,4,7,8,7,4,6,8,7,5,7,8,7
208,2,6,8,7,3,6,8,7,4,7,8,7,3,7,8,7
209,4,6,7,7,4,6,8,7,4,8,8,7,4,8,8,7
210,4,8,7,7,7,5,7,7,4,6,7,7,7,7,8,7
211,4,5,6,7,2,6,6,7,7,7,8,7,6,8,8,7
212,2,5,7,7,5,6,8,7,2,5,7,7,5,7,7,7
213,2,7,8,8,2,7,8,7,1,8,8,7,5,8,8,7
214,2,5,7,7,2,6,8,7,2,4,7,7,4,8,8,7
215,0,5,8,8,0,7,8,8,2,8,7,7,4,7,7,7
216,2,5,7,7,4,6,8,7,5,6,7,7,7,7,8,7
217,1,5,8,7,2,4,7,7,5,6,7,7,5,6,7,7
218,2,6,8,7,2,7,7,7,4,7,8,7,5,6,7,7
219,0,2,7,8,2,5,8,7,2,6,7,7,5,6,8,7
220,1,5,6,7,2,5,7,7,4,5,7,7,5,5,7,7
221,1,4,8,7,2,6,7,7,4,5,7,7,2,7,7,7
222,5,5,6,7,5,5,7,7,5,5,7,7,5,5,7,7
223,4,6,7,7,2,5,7,7,4,5,7,7,5,7,7,7
224,1,5,6,7,2,5,8,7,4,6,7,7,5,5,7,7
225,4,4,7,7,1,5,8,7,2,5,7,7,4,6,7,7
226,1,5,7,7,1,5,8,7,4,5,7,7,4,5,7,7
227,1,5,6,7,2,6,7,7,1,5,7,7,2,7,7,7
228,2,5,7,7,5,5,7,7,4,6,7,7,6,6,7,7
229,2,5,6,7,2,5,7,7,1,5,8,7,4,5,7,7
230,2,5,7,7,1,6,7,7,4,5,7,7,4,7,8,7
231,1,2,6,7,1,4,8,7,0,7,8,7,4,6,7,7
232,2,6,7,7,1,7,8,7,2,6,7,7,2,4,8,7
233,0,3,8,7,1,6,7,7,0,5,8,7,3,6,8,7
234,4,5,7,7,5,6,7,7,5,6,7,7,5,7,7,7
235,0,5,8,7,2,6,7,7,5,5,8,7,5,7,7,7
236,2,6,7,7,2,5,7,7,4,6,7,7,4,7,8,7
237,0,4,8,7,1,2,8,7,0,7,8,7,2,8,8,7
238,2,4,7,7,1,8,8,7,2,8,8,7,3,7,7,7
239,1,4,8,7,1,5,8,7,0,5,8,8,1,6,7,7
240,5,6,7,7,5,7,7,7,5,7,7,7,5,8,8,7
241,0,4,8,7,2,7,7,7,2,8,8,7,4,5,7,7
242,2,6,7,7,1,7,8,7,2,8,7,7,5,8,7,7
243,0,4,8,7,1,6,8,7,2,8,8,7,5,6,7,7
244,2,5,7,7,1,6,8,7,2,6,7,7,2,7,8,7
245,0,6,8,8,1,6,8,7,0,7,8,8,2,7,8,7
246,5,6,7,7,5,8,7,7,6,6,7,7,6,8,8,7
247,1,8,8,7,4,7,8,7,4,6,8,7,7,8,8,7
248,5,8,7,7,0,6,8,8,5,7,7,7,6,6,7,7
249,0,6,8,7,4,8,8,7,2,8,8,7,4,8,8,7
250,1,8,7,7,2,7,8,7,4,6,7,7,6,7,7,7
251,0,5,8,7,1,8,8,8,1,7,7,7,2,6,7,7
252,2,6,7,7,4,5,8,7,4,6,7,7,5,6,7,7
253,3,7,8,7,4,6,8,7,1,8,8,7,4,7,7,7
254,1,6,7,7,2,7,8,7,2,6,7,7,4,6,7,7
255,0,5,8,8,2,7,8,7,1,6,7,7,2,6,8,7
256,2,5,7,7,1,4,8,7,2,6,7,7,2,7,8,7
257,1,6,7,7,1,7,7,7,2,7,7,7,5,6,7,7
258,5,6,6,7,4,5,7,7,5,5,7,7,6,7,7,7
259,1,6,8,7,5,6,8,7,3,6,7,7,4,6,7,7
260,3,6,7,7,2,4,7,7,3,6,7,7,5,6,7,7
261,0,5,8,8,0,6,8,7,2,6,7,7,5,7,8,7
262,4,5,6,7,2,6,7,7,2,6,7,7,3,6,8,7
263,4,6,6,7,4,5,7,7,2,6,7,7,2,6,7,7
264,4,5,6,7,5,7,7,7,4,5,6,7,5,5,7,7
265,4,6,7,7,4,6,7,7,4,6,7,7,4,7,7,7
266,4,6,6,7,4,5,7,7,4,7,8,7,6,7,8,7
267,4,6,8,7,4,8,8,7,4,7,7,7,1,7,7,7
268,0,5,7,7,2,6,7,7,3,8,8,7,3,8,7,7
269,2,4,7,7,2,4,7,7,2,6,7,7,2,6,8,7
270,4,6,8,7,4,6,7,7,6,6,6,7,5,6,7,7
271,1,5,7,7,4,6,7,7,4,6,7,7,5,7,7,7
272,2,6,8,7,2,7,7,7,0,7,7,7,7,8,8,7
273,2,5,7,7,2,6,8,7,2,6,7,7,4,7,7,7
274,0,7,8,7,2,8,7,7,2,6,7,7,1,8,8,7
275,4,6,7,7,1,7,8,7,2,8,7,7,2,7,7,7
276,4,6,7,7,4,8,8,7,5,7,7,7,6,8,8,7
277,4,5,6,7,4,6,7,7,4,7,7,7,4,8,7,7
278,1,6,8,7,2,5,7,7,3,6,8,7,4,8,8,7
279,2,7,7,7,1,8,8,7,2,7,7,7,5,7,7,7
280,2,6,8,7,2,6,8,7,0,8,8,7,5,8,8,7
281,1,4,7,7,1,8,8,7,1,8,8,7,2,8,8,7
282,4,5,8,7,5,6,8,7,4,8,8,7,6,7,7,7
283,5,8,7,7,4,8,7,7,4,7,7,7,5,8,8,7
284,1,5,8,7,1,6,8,7,0,7,8,7,4,5,7,7
285,1,7,8,7,1,6,7,7,1,6,7,7,2,8,8,7
286,0,7,8,7,1,6,8,7,0,7,8,7,2,6,7,7
287,0,8,8,7,2,8,8,7,3,8,8,7,1,8,8,7
288,2,5,8,7,5,5,7,7,5,6,7,7,6,5,6,7
289,2,6,6,7,4,7,8,7,5,6,7,7,5,6,7,7
290,1,6,8,7,1,6,7,7,0,8,8,7,5,5,7,7
291,2,5,6,7,2,6,8,7,5,8,8,7,5,8,7,7
292,0,8,8,7,1,7,7,7,2,8,8,8,2,8,8,7
293,1,5,7,7,3,6,8,7,0,7,8,7,3,8,8,7
294,4,6,7,7,2,6,7,7,5,8,8,7,5,5,7,7
295,1,6,7,7,1,6,8,7,4,7,8,7,6,7,8,7
296,2,7,8,7,0,5,7,7,1,8,8,7,6,5,7,7
297,1,4,7,7,4,6,8,7,4,6,8,7,3,8,8,7
298,0,7,8,7,0,5,7,7,0,8,8,8,1,8,8,7
299,1,5,7,7,0,7,8,7,1,6,7,7,2,8,8,7
300,2,7,7,7,4,5,6,7,6,7,7,7,5,7,6,7
301,4,4,6,7,4,8,8,7,2,7,7,7,6,8,8,7
302,2,6,6,7,2,7,8,7,2,8,8,7,3,8,8,7
303,4,5,6,7,2,8,8,7,2,6,7,7,2,8,8,7
304,2,7,6,6,2,7,8,7,0,8,8,8,3,8,8,7
305,2,5,7,7,0,6,8,7,1,8,8,7,3,7,8,7
306,4,6,7,7,2,8,8,7,4,8,8,7,4,8,8,7
307,4,5,6,6,2,6,8,7,3,7,8,7,4,7,8,7
308,0,7,8,8,1,8,8,7,0,8,8,7,4,8,8,7
309,1,7,8,7,1,7,8,7,0,7,8,7,1,7,7,7
310,0,8,8,7,0,7,8,8,2,8,8,7,2,8,8,7
311,2,7,7,7,0,7,8,7,0,7,8,8,0,8,8,7
312,4,6,8,7,2,5,8,7,2,7,8,7,5,8,8,7
313,2,5,6,7,2,5,6,7,3,7,7,7,4,6,6,7
314,0,8,8,7,0,7,8,8,1,8,8,7,5,8,8,7
315,0,8,8,7,0,7,8,8,2,8,8,7,2,8,8,7
316,0,8,8,8,1,8,8,7,0,8,8,7,0,8,8,7
317,0,8,8,7,0,7,8,8,0,8,8,7,2,8,8,7
318,0,8,8,7,1,8,8,7,4,8,8,7,5,8,8,7
319,0,5,7,7,0,6,7,7,0,8,8,7,3,8,8,7
320,0,8,8,8,0,7,8,8,0,8,8,7,3,8,8,7
321,2,7,6,7,0,7,8,8,0,8,8,7,3,8,8,7
322,2,7,8,7,0,7,8,8,0,8,8,8,0,8,8,7
323,2,7,6,7,0,6,8,7,0,8,8,8,0,8,8,7
324,0,5,8,7,2,7,8,7,1,8,8,7,3,8,8,7
325,0,6,8,8,3,6,8,7,1,8,8,7,2,8,8,7
326,0,7,8,7,0,8,8,7,3,8,8,7,5,8,8,7
327,2,7,8,7,1,8,8,7,0,7,8,7,1,8,8,7
328,2,7,6,7,2,7,8,8,0,7,8,7,1,8,8,7
329,2,6,6,6,0,8,8,7,0,7,8,7,0,8,8,7
330,1,8,8,8,4,8,8,7,3,8,8,7,4,8,7,7
331,1,8,8,7,0,8,8,7,0,8,8,7,0,8,8,7
332,0,7,8,8,2,7,8,8,4,8,8,7,2,8,8,7
333,0,8,8,7,1,8,8,7,1,8,8,7,0,8,8,7
334,2,5,6,7,0,8,8,8,0,8,8,7,0,8,8,7
335,2,5,8,7,0,7,8,8,1,8,8,7,0,7,8,7
336,2,5,6,7,4,8,8,7,1,8,8,7,2,8,8,7
337,0,7,8,7,1,8,8,7,1,8,8,7,0,8,8,7
338,0,7,8,7,0,7,8,7,0,7,8,7,2,8,8,7
339,0,8,8,8,0,7,8,7,0,8,8,7,0,7,8,7
340,0,7,8,7,0,6,7,8,0,8,8,8,2,8,8,7
341,0,7,8,8,0,6,7,8,0,8,8,7,0,7,8,8
342,0,7,8,7,2,7,8,7,2,8,8,7,3,8,8,7
343,1,7,8,7,1,7,8,7,2,7,8,7,0,8,8,7
344,0,8,8,7,1,8,8,7,0,8,8,7,2,7,8,7
345,0,7,8,7,0,7,8,8,0,8,8,7,0,7,8,7
346,0,4,7,8,0,8,8,8,0,7,8,8,0,7,8,7
347,0,8,8,8,0,6,8,7,0,7,8,7,0,8,8,7
348,0,7,8,8,0,8,8,7,0,8,8,7,2,8,8,7
349,0,5,8,7,0,8,8,7,1,7,8,7,1,8,8,7
350,0,4,8,8,0,7,8,7,0,8,8,7,0,8,8,7
351,0,5,8,7,0,8,8,7,0,8,8,7,0,8,8,7
352,0,6,7,8,0,8,8,7,0,8,8,7,0,7,8,7
353,0,7,8,8,0,7,7,8,1,8,8,7,0,8,8,8
354,0,7,8,8,0,8,8,7,0,7,8,8,2,8,8,7
355,1,8,8,7,0,7,8,8,0,8,8,7,0,8,8,7
356,1,7,8,7,0,8,8,7,0,8,8,7,0,7,8,7
357,0,5,8,7,0,7,8,8,0,8,8,7,0,8,8,8
358,0,6,7,8,0,8,8,8,0,7,8,8,0,8,8,7
359,0,7,7,8,0,7,8,8,0,8,8,8,1,7,8,7
360,1,8,8,8,1,6,8,7,0,7,8,7,2,8,8,7
361,2,7,8,7,0,8,8,7,0,8,8,7,2,7,8,7
362,2,7,8,7,0,7,8,8,0,7,8,8,0,8,8,7
363,2,7,6,7,0,7,7,8,0,8,8,7,0,8,8,7
364,0,6,8,8,0,7,8,7,0,7,8,7,0,7,8,7
365,0,8,8,8,0,6,8,8,1,7,8,8,0,7,8,7
366,2,7,8,7,5,5,7,7,2,7,7,7,4,8,8,7
367,4,5,6,7,1,7,7,7,2,8,7,7,2,7,7,7
368,4,6,7,7,2,6,7,7,0,8,8,7,2,7,8,7
369,4,5,6,7,2,5,7,7,2,7,7,7,4,6,7,7
370,4,5,6,7,1,6,8,7,0,7,7,7,0,8,8,7
371,2,5,7,7,1,5,7,7,1,7,8,7,1,8,8,7
372,0,7,8,7,2,8,8,7,2,7,7,7,6,8,8,7
373,2,8,8,7,2,8,8,7,4,8,7,7,4,7,7,7
374,0,7,8,7,2,7,7,7,2,8,8,7,2,8,8,7
375,2,6,7,7,1,7,7,7,2,7,7,7,3,8,8,7
376,0,7,8,7,1,5,7,7,1,8,8,7,2,8,8,7
377,2,6,8,7,1,8,8,8,1,8,7,7,2,8,8,7
378,2,5,7,7,0,5,7,7,4,7,8,7,5,5,7,7
379,1,5,7,7,4,6,7,7,2,7,7,7,3,7,8,7
380,0,5,8,7,0,8,8,7,0,7,8,7,2,7,8,7
381,2,6,7,7,1,7,7,7,1,7,7,7,2,7,8,7
382,0,5,7,7,0,5,8,7,0,6,8,8,2,8,8,7
383,1,5,7,7,0,7,7,7,1,6,7,7,2,7,8,7
384,0,5,8,7,2,5,8,7,3,8,8,7,2,6,7,7
385,1,6,7,7,2,8,8,7,4,8,7,7,4,8,8,7
386,0,5,8,7,0,8,8,7,5,8,8,7,1,7,8,7
387,0,5,8,7,1,8,8,8,1,7,7,7,2,8,8,7
388,0,4,8,7,0,8,8,7,2,8,8,7,2,6,7,7
389,1,5,7,7,1,6,8,8,1,8,8,7,1,8,8,7
390,2,8,8,7,1,5,8,7,5,7,8,7,4,8,7,7
391,2,5,7,7,2,6,8,7,2,6,7,7,4,8,8,7
392,2,5,8,7,0,7,7,7,1,8,8,7,3,6,8,7
393,1,6,8,7,2,8,8,7,1,8,8,7,2,8,8,7
394,2,5,6,7,0,7,8,7,2,8,8,7,2,8,8,7
395,4,6,7,7,1,8,8,8,1,8,8,7,0,8,8,7
396,4,5,6,7,2,5,7,7,3,7,8,7,5,7,7,7
397,4,6,6,7,2,8,8,7,2,7,8,7,3,8,8,7
398,0,7,8,7,0,7,8,7,0,8,8,7,2,7,8,7
399,1,5,7,7,2,8,8,7,0,7,7,7,5,8,8,7
400,0,8,8,7,0,8,8,7,2,8,8,7,3,7,7,7
401,1,7,8,7,1,8,8,7,1,8,8,7,2,8,8,7
402,0,7,8,7,2,7,7,7,4,8,8,7,4,7,8,7
