,3000_1m,4000_1m,5000_1m,6000_1m,3000_3m,4000_3m,5000_3m,6000_3m,3000_6m,4000_6m,5000_6m,6000_6m,3000_12m,4000_12m,5000_12m,6000_12m
271,6,6,6,6,6,5,6,7,7,6,7,7,7,7,7,7
272,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7
273,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
274,6,6,6,7,6,6,7,7,7,7,7,7,7,7,7,7
275,6,5,5,5,7,6,6,7,7,7,7,7,7,7,7,7
276,6,5,6,5,7,6,7,7,7,7,7,7,7,7,7,7
277,6,5,6,5,7,7,6,7,7,7,7,7,7,7,7,7
278,6,5,6,6,7,6,6,7,7,7,7,7,7,7,7,7
279,6,5,6,6,7,5,7,7,7,7,7,7,7,7,7,7
280,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
281,6,7,6,6,7,7,7,6,7,7,7,7,7,7,7,7
282,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7
283,5,5,6,5,7,6,6,7,7,7,7,7,7,7,7,7
284,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7
285,6,5,6,5,7,6,7,7,7,7,7,7,7,7,7,7
286,6,5,6,5,7,5,7,7,7,7,7,7,7,7,7,7
287,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7
288,6,7,6,5,6,7,7,6,7,7,7,7,7,7,7,7
289,6,6,6,5,7,6,7,7,7,7,7,7,7,7,7,7
290,6,5,5,5,6,5,6,7,7,7,7,7,7,7,7,7
291,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7
292,5,5,6,5,6,6,6,7,7,7,7,7,7,7,7,7
293,5,5,5,5,6,7,7,6,7,7,7,7,7,7,7,7
294,6,5,6,5,7,6,6,7,7,7,7,7,7,7,7,7
295,6,5,5,5,6,5,7,6,7,7,7,7,7,7,7,7
296,5,5,6,5,6,5,7,7,7,7,7,7,7,7,7,7
297,4,4,5,5,7,6,6,7,7,7,7,7,7,7,7,7
298,5,2,4,5,6,7,7,7,7,7,7,7,7,7,7,7
299,4,2,5,5,6,5,7,6,7,7,7,7,7,7,7,7
300,4,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7
301,4,2,5,5,5,6,7,7,7,7,7,7,7,7,7,7
302,4,4,5,5,5,6,6,7,7,7,7,7,7,7,7,7
303,2,4,5,5,6,6,6,7,7,7,7,7,7,7,7,7
304,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
305,5,7,6,5,6,7,7,7,7,7,7,7,7,7,7,7
306,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7
307,4,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7
308,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
309,5,6,5,5,5,7,7,7,7,7,7,7,7,7,7,7
310,6,5,6,6,7,6,7,6,7,7,7,7,7,7,7,7
311,6,5,6,6,7,6,7,7,7,7,7,7,7,7,7,7
312,6,7,6,5,6,7,6,7,7,7,7,7,7,7,7,7
313,5,7,7,5,7,7,7,6,7,7,7,7,7,7,7,7
314,6,6,6,5,6,6,7,7,7,7,7,7,7,7,7,7
315,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7
316,5,6,6,5,7,5,7,7,7,7,7,7,7,7,7,7
317,5,4,6,5,7,6,7,7,7,7,7,7,7,7,7,7
318,5,5,5,5,7,6,7,5,7,7,7,7,7,7,7,7
319,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7
320,6,5,6,5,6,6,7,7,7,7,7,7,7,7,7,7
321,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7
322,4,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7
323,5,3,4,5,7,6,7,7,7,7,7,7,7,7,7,7
