,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
280,8,8,8,7,8,8,8,7,8,8,8,7,8,8,7,7
281,8,9,7,7,9,9,8,7,8,8,7,7,8,7,7,7
282,8,8,7,7,9,9,8,7,9,8,7,7,7,8,7,7
283,7,8,8,7,7,7,7,7,8,7,7,7,7,8,7,7
284,8,8,7,7,7,8,7,7,7,8,7,7,8,8,7,7
285,8,8,7,7,7,7,7,7,8,8,7,7,7,8,7,7
286,8,9,7,7,7,6,7,7,8,8,7,7,7,7,7,7
287,8,8,7,7,7,8,7,7,7,8,7,7,8,8,7,7
288,8,8,8,7,9,9,8,7,8,8,8,7,7,7,7,7
289,8,9,8,7,8,7,7,7,8,8,8,7,7,7,7,7
290,8,8,7,7,7,6,7,7,7,7,7,7,7,8,7,7
291,6,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7
292,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7
293,7,7,7,7,7,8,7,7,7,8,7,7,7,7,7,7
294,8,8,8,7,7,7,7,7,8,7,8,7,7,8,7,7
295,8,8,8,7,5,6,7,7,7,8,7,7,7,7,7,7
296,7,8,8,7,7,6,7,7,8,8,7,7,7,8,7,7
297,6,9,8,7,6,7,7,7,5,7,7,7,7,8,7,7
298,7,8,8,7,2,8,8,7,6,8,7,7,7,8,7,7
299,6,7,7,7,2,6,7,7,7,8,7,7,7,7,7,7
300,6,6,7,7,6,7,7,7,7,7,7,7,7,8,7,7
301,4,6,7,7,2,7,7,7,7,8,7,7,7,8,7,7
302,4,6,7,7,6,7,7,7,6,7,7,7,7,8,7,7
303,4,7,7,7,4,7,7,7,7,7,7,7,5,8,7,7
304,8,8,8,7,9,9,8,7,8,8,7,7,7,8,7,7
305,7,7,7,7,9,9,7,7,8,8,7,7,7,7,7,7
306,8,8,8,7,8,7,8,7,8,8,7,7,8,8,7,7
307,6,6,8,7,8,9,8,7,8,7,7,7,7,7,7,7
308,8,8,7,7,8,8,7,7,8,8,7,7,8,8,7,7
309,7,7,8,7,8,9,8,7,7,8,7,7,7,7,7,7
310,8,9,8,7,7,7,7,7,8,8,7,7,8,6,7,7
311,8,8,8,7,7,7,7,7,8,8,7,7,8,7,7,7
312,8,7,7,7,9,9,7,7,8,7,7,7,7,8,7,7
313,7,9,8,7,9,8,7,7,9,8,7,7,7,7,7,7
314,8,7,7,7,8,8,7,7,8,8,7,7,7,8,7,7
315,7,7,8,7,7,6,7,7,7,7,7,7,7,8,7,7
316,7,8,7,7,8,7,7,7,8,8,7,7,7,7,7,7
317,7,8,8,7,6,7,7,7,8,8,7,7,7,7,7,7
318,7,8,8,7,7,7,7,7,7,8,7,7,7,6,7,7
319,7,6,8,7,7,6,7,7,7,7,7,7,7,8,7,7
320,8,7,7,7,7,7,7,7,8,7,7,7,7,8,7,7
321,7,7,7,7,7,6,7,7,7,8,7,7,7,8,7,7
322,6,6,7,7,7,8,7,7,7,8,7,7,7,8,7,7
323,7,8,7,7,5,6,7,7,6,8,7,7,7,8,7,7
324,5,7,8,7,7,7,7,7,7,8,7,7,7,8,7,7
325,5,8,7,7,2,7,7,7,7,7,7,7,7,8,7,7
326,8,9,7,7,6,7,7,7,7,8,7,7,7,7,7,7
327,4,7,7,7,7,8,7,7,7,7,7,7,7,8,7,7
328,8,8,7,7,7,8,7,7,8,8,7,7,7,8,7,7
329,8,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7
330,6,6,7,7,7,8,7,7,7,7,7,7,5,6,7,7
331,6,6,7,7,4,6,7,7,6,8,7,7,7,7,7,7
332,5,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7
333,5,7,7,7,7,7,7,7,6,6,7,7,7,8,7,7
334,5,6,7,7,6,7,7,7,7,7,7,7,7,8,7,7
335,2,6,7,7,6,6,7,7,6,6,7,7,6,8,7,7
336,7,7,7,7,7,7,7,7,8,7,7,7,8,8,7,7
